id,cast,crew
665784,3,1
731389,0,4
29653,25,11
25079,15,5
178335,12,4
125513,10,8
27867,10,13
9696,26,10
87785,9,9
564924,11,3
362190,6,2
166135,11,2
3172,23,137
295613,18,29
651394,1,1
620101,0,1
519411,0,0
516343,0,1
800679,2,2
780223,0,1
760477,10,1
729191,5,1
726241,1,12
665283,3,3
664229,0,3
622662,0,1
599872,0,1
599869,0,1
599868,0,1
599867,0,1
533559,0,1
525108,0,1
486793,9,1
483248,0,5
461435,5,1
447813,4,1
384380,0,1
382129,0,1
369435,0,1
369433,0,1
369432,0,7
359647,0,6
348303,10,5
340453,0,2
312399,4,5
269701,0,2
259366,2,1
222475,5,6
218550,2,3
185961,1,1
158483,4,20
148369,1,0
138255,4,2
138251,9,2
115580,23,15
105898,11,1
65183,7,2
20770,26,26
75915,11,6
670620,3,0
36222,14,6
608390,6,3
409966,4,1
563516,13,5
12205,6,11
768,53,73
434561,0,8
738590,0,4
62371,0,6
9896,97,206
37910,3,10
161,73,154
96730,4,0
647215,9,3
319151,15,2
277496,3,3
75175,4,7
8922,16,109
75177,4,6
266759,10,8
648136,11,2
827674,0,0
16888,34,19
16184,15,8
507786,8,5
117300,5,4
142542,6,2
507022,2,17
464198,13,0
386453,0,5
365293,0,1
365290,0,2
270983,0,0
44725,12,1
585,52,425
120,126,124
262526,9,22
326925,0,1
326238,0,2
319166,4,1
162095,0,4
27639,9,15
8007,19,163
88440,6,5
579165,7,7
376734,9,6
30491,8,11
2770,79,132
819117,12,9
383838,5,0
383836,5,0
284183,13,7
609488,5,4
377334,0,1
308891,5,1
74036,5,11
65993,8,3
677098,9,2
675498,4,2
527993,7,3
778085,18,0
391163,9,7
413552,8,2
358543,6,3
16402,24,34
11090,16,119
855,35,270
453,41,141
747022,9,1
33176,6,7
545441,8,4
451096,5,4
810470,0,1
697632,5,5
679879,3,2
117084,7,3
41421,11,8
26662,4,5
12448,27,26
9884,56,208
448915,26,0
481391,0,3
435917,0,1
205686,3,1
728677,5,5
340273,7,1
223648,12,2
1933,14,95
601,35,23
705535,0,1
639005,9,7
48632,17,5
48212,17,8
644324,3,1
536998,1,1
364727,15,5
320982,21,7
557,91,205
277098,3,1
114160,14,9
109558,26,2
528536,10,5
826949,3,0
826948,3,0
98960,6,0
404616,6,3
12103,36,141
410135,4,3
201424,6,4
324023,9,5
11770,16,16
205746,1,0
118775,12,3
10950,40,42
9334,40,230
36586,48,207
11232,18,28
248486,15,2
818111,0,1
759528,4,2
423289,2,2
20646,23,8
18457,37,29
10590,55,164
21769,7,4
111367,46,22
641872,3,1
52407,7,3
33333,14,9
729999,2,7
666508,0,0
365294,0,1
404899,4,2
648131,10,2
645874,8,3
286369,16,12
608,92,465
802456,11,2
802445,14,2
